Scenario,Day,EV_energy_kWh,No_EV_cost_EUR,With_EV_cost_EUR,Cost_increase_EUR,No_EV_grid_import_kWh,With_EV_grid_import_kWh,Grid_import_increase_kWh,No_EV_grid_export_kWh,With_EV_grid_export_kWh,Grid_export_change_kWh,No_EV_peak_grid_kW,With_EV_peak_grid_kW,Peak_increase_kW
Low,106,37.0,-70.44658483718892,-67.83590183718893,2.6106829999999945,155.54328883239364,155.54328883239364,0.0,1762.4792977799775,1725.4792977799775,-37.0,15.609264236563376,15.609264236563376,0.0
Medium,20,303.0,157.45948501764013,200.08717930278502,42.627694285144884,1130.5254635818114,1438.6337653107344,308.1083017289229,0.0,0.0,0.0,61.752912408629626,73.7597187435,12.006806334870376
High,95,509.0,-59.341818794539165,-37.21664664453916,22.125172150000004,128.9117858243536,128.9117858243536,0.0,1908.1146606678278,1399.1146606678278,-509.0,20.946896083475597,20.946896083475597,0.0
