Strategy,Fair_cost_EUR,Energy_cost_EUR,Peak_cost_EUR,Grid_import_kWh,Grid_export_kWh,Peak_grid_kW,Peak_EV_kW
ASAP,200.08717930278502,190.252550136985,9.834629165800001,1438.6337653107344,0.0,73.7597187435,68.5
Flexible energy-cost,198.7925688446667,188.166536444953,10.626032399713692,1435.1690455800413,0.0,79.69524299785269,66.18552425435269
Flexible peak-aware,201.00738731437605,192.77633432639323,8.231052987982808,1443.3426280700858,0.0,61.732897409871065,65.10282713787106
