Scenario,Day,EV_energy_kWh,ASAP_cost_EUR,Flexible_cost_EUR,Cost_saving_EUR,ASAP_grid_import_kWh,Flexible_grid_import_kWh,Grid_import_reduction_kWh,ASAP_grid_export_kWh,Flexible_grid_export_kWh,Grid_export_change_kWh,ASAP_peak_grid_kW,Flexible_peak_grid_kW,Peak_grid_reduction_kW,ASAP_peak_EV_kW,Flexible_peak_EV_kW
Low,106,37.0,-67.83590183718893,-70.10761883718891,2.271716999999981,155.54328883239364,155.54328883239364,0.0,1725.4792977799775,1725.4792977799775,0.0,15.609264236563376,15.609264236563376,0.0,11.8,27.0
Medium,20,303.0,200.08717930278502,198.79256884466668,1.294610458118342,1438.6337653107344,1435.1690455800413,3.464719730693105,0.0,0.0,0.0,73.7597187435,79.69524299785269,-5.935524254352686,68.5,66.18552425435269
High,95,509.0,-37.21664664453916,-41.696918304179434,4.480271659640273,128.9117858243536,128.9117858243536,0.0,1399.1146606678278,1399.1146606678278,0.0,20.946896083475597,20.946896083475597,0.0,127.90000000000002,181.9455155855
