day,success,cost_EUR,n_ev,EV_energy_kWh,load_energy_kWh,PV_energy_kWh,grid_import_kWh,grid_export_kWh,battery_throughput_kWh,PV_utilization_percent,peak_EV_power_kW,peak_grid_import_kW,scenario
106,True,15.74302688301424,5,37.0,1420.0898122833,1579.4099999999999,217.46619950534995,399.36533459047104,396.42105263157896,74.71427086124116,16.0,43.498556514499974,Low
20,True,111.82222348715501,25,303.0,1431.66912434215,180.33,1496.6449494454241,0.0,433.19827957927424,100.0,132.0,249.6175565145,Medium
95,True,16.83130167838781,34,509.0,1432.217753386,1674.636,244.89388710235,37.89108108477112,396.42105263157896,97.73735420206116,120.063807706,50.097780323500004,High
